"time","OP"
2.326,0.026
2.328,0.028
2.33,0.03
2.332,0.032
2.334,0.034
2.336,0.036
2.338,0.038
2.34,0.04
2.34,0.02
2.342,0.022
2.344,0.024
2.346,0.026
2.348,0.028
2.35,0.03
2.352,0.032
2.354,0.034
2.356,0.036
2.358,0.038
2.36,0.04
2.36,0.02
2.362,0.022
2.364,0.024
2.366,0.026
2.368,0.028
2.37,0.03
2.372,0.032
2.374,0.034
2.376,0.036
2.378,0.038
2.38,0.04
2.38,0.02
2.382,0.022
2.384,0.024
2.386,0.026
2.388,0.028
2.39,0.03
2.392,0.032
2.394,0.034
2.396,0.036
2.398,0.038
2.4,0.04
2.4,0.02
2.402,0.022
2.404,0.024
2.406,0.026
2.408,0.028
2.41,0.03
2.412,0.032
2.414,0.034
2.416,0.036
2.418,0.038
2.42,0.04
2.42,0.02
2.422,0.022
2.424,0.024
2.426,0.026
2.428,0.028
2.43,0.03
2.432,0.032
2.434,0.034
2.436,0.036
2.438,0.038
2.44,0.04
2.44,0.02
2.442,0.022
2.444,0.024
2.446,0.026
2.448,0.028
2.45,0.03
2.452,0.032
2.454,0.034
2.456,0.036
2.458,0.038
2.46,0.04
2.46,0.02
2.462,0.022
2.464,0.024
2.466,0.026
2.468,0.028
2.47,0.03
2.472,0.032
2.474,0.034
2.476,0.036
2.478,0.038
2.48,0.04
2.48,0.02
2.482,0.022
2.484,0.024
2.486,0.026
2.488,0.028
2.49,0.03
2.492,0.032
2.494,0.034
2.496,0.036
2.498,0.038
2.5,0.04
2.5,0.02
2.502,0.022
2.504,0.024
2.506,0.026
2.508,0.028
2.51,0.03
2.512,0.032
2.514,0.034
2.516,0.036
2.518,0.038
2.52,0.04
2.52,0.02
2.522,0.022
2.524,0.024
2.526,0.026
2.528,0.028
2.53,0.03
2.532,0.032
2.534,0.034
2.536,0.036
2.538,0.038
2.54,0.04
2.54,0.02
2.542,0.022
2.544,0.024
2.546,0.026
2.548,0.028
2.55,0.03
2.552,0.032
2.554,0.034
2.556,0.036
2.558,0.038
2.56,0.04
2.56,0.02
2.562,0.022
2.564,0.024
2.566,0.026
2.568,0.028
2.57,0.03
2.572,0.032
2.574,0.034
2.576,0.036
2.578,0.038
2.58,0.04
2.58,0.02
2.582,0.022
2.584,0.024
2.586,0.026
2.588,0.028
2.59,0.03
2.592,0.032
2.594,0.034
2.596,0.036
2.598,0.038
2.6,0.04
2.6,0.02
2.602,0.022
2.604,0.024
2.606,0.026
2.608,0.028
2.61,0.03
2.612,0.032
2.614,0.034
2.616,0.036
2.618,0.038
2.62,0.04
2.62,0.02
2.622,0.022
2.624,0.024
2.626,0.026
2.628,0.028
2.63,0.03
2.632,0.032
2.634,0.034
2.636,0.036
