"time","OP"
2.588,0.068
2.59,0.07
2.592,0.072
2.594,0.074
2.596,0.076
2.598,0.078
2.6,0.08
2.6,0.04
2.602,0.042
2.604,0.044
2.606,0.046
2.608,0.048
2.61,0.05
2.612,0.052
2.614,0.054
2.616,0.056
2.618,0.058
2.62,0.06
2.622,0.062
2.624,0.064
2.626,0.066
2.628,0.068
2.63,0.07
2.632,0.072
2.634,0.074
2.636,0.076
2.638,0.078
2.64,0.08
2.64,0.04
2.642,0.042
2.644,0.044
2.646,0.046
2.648,0.048
2.65,0.05
2.652,0.052
2.654,0.054
2.656,0.056
2.658,0.058
2.66,0.06
2.662,0.062
2.664,0.064
2.666,0.066
2.668,0.068
2.67,0.07
2.672,0.072
2.674,0.074
2.676,0.076
2.678,0.078
2.68,0.08
2.68,0.04
2.682,0.042
2.684,0.044
2.686,0.046
2.688,0.048
2.69,0.05
2.692,0.052
2.694,0.054
2.696,0.056
2.698,0.058
2.7,0.06
2.702,0.062
2.704,0.064
2.706,0.066
2.708,0.068
2.71,0.07
2.712,0.072
2.714,0.074
2.716,0.076
2.718,0.078
2.72,0.08
2.72,0.04
2.722,0.042
2.724,0.044
2.726,0.046
2.728,0.048
2.73,0.05
2.732,0.052
2.734,0.054
2.736,0.056
2.738,0.058
2.74,0.06
2.742,0.062
2.744,0.064
2.746,0.066
2.748,0.068
2.75,0.07
2.752,0.072
2.754,0.074
2.756,0.076
2.758,0.078
2.76,0.08
2.76,0.04
2.762,0.042
2.764,0.044
2.766,0.046
2.768,0.048
2.77,0.05
2.772,0.052
2.774,0.054
2.776,0.056
2.778,0.058
2.78,0.06
2.782,0.062
2.784,0.064
2.786,0.066
2.788,0.068
2.79,0.07
2.792,0.072
2.794,0.074
2.796,0.076
2.798,0.078
2.8,0.08
2.8,0.04
2.802,0.042
2.804,0.044
2.806,0.046
2.808,0.048
2.81,0.05
2.812,0.052
2.814,0.054
2.816,0.056
2.818,0.058
2.82,0.06
2.822,0.062
2.824,0.064
2.826,0.066
2.828,0.068
2.83,0.07
2.832,0.072
2.834,0.074
2.836,0.076
2.838,0.078
2.84,0.08
2.84,0.04
2.842,0.042
2.844,0.044
2.846,0.046
2.848,0.048
2.85,0.05
2.852,0.052
2.854,0.054
2.856,0.056
2.858,0.058
2.86,0.06
2.862,0.062
2.864,0.064
2.866,0.066
2.868,0.068
2.87,0.07
2.872,0.072
2.874,0.074
2.876,0.076
2.878,0.078
2.88,0.08
2.88,0.04
2.882,0.042
2.884,0.044
2.886,0.046
2.888,0.048
2.89,0.05
2.892,0.052
2.894,0.054
2.896,0.056
2.898,0.058
2.9,0.06
2.902,0.062
2.904,0.064
2.906,0.066
2.908,0.068
2.91,0.07
2.912,0.072
2.914,0.074
2.916,0.076
2.918,0.078
2.92,0.08
2.92,0.04
2.922,0.042
2.924,0.044
2.926,0.046
2.928,0.048
2.93,0.05
2.932,0.052
2.934,0.054
2.936,0.056
2.938,0.058
2.94,0.06
2.942,0.062
2.944,0.064
2.946,0.066
2.948,0.068
2.95,0.07
2.952,0.072
2.954,0.074
2.956,0.076
2.958,0.078
2.96,0.08
2.96,0.04
2.962,0.042
2.964,0.044
2.966,0.046
2.968,0.048
2.97,0.05
2.972,0.052
2.974,0.054
2.976,0.056
2.978,0.058
2.98,0.06
2.982,0.062
2.984,0.064
2.986,0.066
2.988,0.068
2.99,0.07
2.992,0.072
2.994,0.074
2.996,0.076
2.998,0.078
3,0.08
3,0.04
3.002,0.042
3.004,0.044
3.006,0.046
3.008,0.048
3.01,0.05
3.012,0.052
3.014,0.054
3.016,0.056
3.018,0.058
3.02,0.06
3.022,0.062
3.024,0.064
3.026,0.066
3.028,0.068
3.03,0.07
3.032,0.072
3.034,0.074
3.036,0.076
3.038,0.078
3.04,0.08
3.04,0.04
3.042,0.042
3.044,0.044
3.046,0.046
3.048,0.048
3.05,0.05
3.052,0.052
3.054,0.054
3.056,0.056
3.058,0.058
3.06,0.06
3.062,0.062
3.064,0.064
3.066,0.066
3.068,0.068
3.07,0.07
3.072,0.072
3.074,0.074
3.076,0.076
3.078,0.078
3.08,0.08
3.08,0.04
3.082,0.042
3.084,0.044
3.086,0.046
3.088,0.048
3.09,0.05
3.092,0.052
3.094,0.054
3.096,0.056
3.098,0.058
3.1,0.06
3.102,0.062
3.104,0.064
3.106,0.066
3.108,0.068
3.11,0.07
3.112,0.072
3.114,0.074
3.116,0.076
3.118,0.078
3.12,0.08
3.12,0.04
3.122,0.042
3.124,0.044
3.126,0.046
3.128,0.048
3.13,0.05
3.132,0.052
3.134,0.054
3.136,0.056
3.138,0.058
3.14,0.06
3.142,0.062
3.144,0.064
3.146,0.066
3.148,0.068
3.15,0.07
3.152,0.072
3.154,0.074
3.156,0.076
3.158,0.078
3.16,0.08
3.16,0.04
3.162,0.042
3.164,0.044
3.166,0.046
3.168,0.048
3.17,0.05
3.172,0.052
3.174,0.054
3.176,0.056
3.178,0.058
3.18,0.06
3.182,0.062
3.184,0.064
3.186,0.066
3.188,0.068
3.19,0.07
3.192,0.072
3.194,0.074
3.196,0.076
3.198,0.078
3.2,0.08
3.2,0.04
3.202,0.042
3.204,0.044
3.206,0.046
3.208,0.048
3.21,0.05
3.212,0.052
3.214,0.054
3.216,0.056
3.218,0.058
3.22,0.06
3.222,0.062
3.224,0.064
3.226,0.066
3.228,0.068
3.23,0.07
3.232,0.072
3.234,0.074
3.236,0.076
3.238,0.078
3.24,0.08
3.24,0.04
3.242,0.042
3.244,0.044
3.246,0.046
3.248,0.048
